Unnamed: 0,SYMBOL,NAME OF COMPANY,Industry,SECTOR
875,JBMA.NS,JBM Auto Limited,Automobile and Auto Components,Automobile and Auto Components
876,JCHAC.NS,Johnson Controls - Hitachi Air Conditioning India Limited,Consumer Durables,Consumer Durables
877,JETAIRWAYS.NS,Jet Airways (India) Limited,Others,Others
878,JETFREIGHT.NS,Jet Freight Logistics Limited,Others,Others
879,JGCHEM.NS,J.G.Chemicals Limited,Others,Others
880,JHS.NS,JHS Svendgaard Laboratories Limited,Others,Others
881,JINDALPHOT.NS,Jindal Photo Limited,Others,Others
882,JINDALPOLY.NS,Jindal Poly Films Limited,Others,Others
883,JINDALSAW.NS,Jindal Saw Limited,Capital Goods,Capital Goods
884,JINDALSTEL.NS,Jindal Steel & Power Limited,Metals & Mining,Metals & Mining
885,JINDRILL.NS,Jindal Drilling And Industries Limited,Others,Others
886,JINDWORLD.NS,Jindal Worldwide Limited,Textiles,Textiles
887,JIOFIN.NS,Jio Financial Services Limited,Financial Services,Financial Services
888,JISLDVREQS.NS,Jain Irrigation Systems Limited,Others,Others
889,JISLJALEQS.NS,Jain Irrigation Systems Limited,Capital Goods,Capital Goods
890,JITFINFRA.NS,JITF Infralogistics Limited,Others,Others
891,JKCEMENT.NS,JK Cement Limited,Construction Materials,Construction Materials
892,JKIL.NS,J.Kumar Infraprojects Limited,Construction,Construction
893,JKLAKSHMI.NS,JK Lakshmi Cement Limited,Construction Materials,Construction Materials
894,JKPAPER.NS,JK Paper Limited,Forest Materials,Forest Materials
895,JKTYRE.NS,JK Tyre & Industries Limited,Automobile and Auto Components,Automobile and Auto Components
896,JLHL.NS,Jupiter Life Line Hospitals Limited,Healthcare,Healthcare
897,JMA.NS,Jullundur Motor Agency (Delhi) Limited,Others,Others
898,JMFINANCIL.NS,JM Financial Limited,Financial Services,Financial Services
899,JNKINDIA.NS,JNK India Limited,Others,Others
900,JOCIL.NS,Jocil Limited,Others,Others
901,JPOLYINVST.NS,Jindal Poly Investment and Finance Company Limited,Others,Others
902,JPPOWER.NS,Jaiprakash Power Ventures Limited,Power,Power
903,JSFB.NS,Jana Small Finance Bank Limited,Others,Others
904,JSL.NS,Jindal Stainless Limited,Metals & Mining,Metals & Mining
905,JSWENERGY.NS,JSW Energy Limited,Power,Power
906,JSWHL.NS,JSW Holdings Limited,Financial Services,Financial Services
907,JSWINFRA.NS,JSW Infrastructure Limited,Services,Services
908,JSWSTEEL.NS,JSW Steel Limited,Metals & Mining,Metals & Mining
909,JTEKTINDIA.NS,Jtekt India Limited,Automobile and Auto Components,Automobile and Auto Components
910,JTLIND.NS,JTL INDUSTRIES LIMITED,Capital Goods,Capital Goods
911,JUBLFOOD.NS,Jubilant Foodworks Limited,Consumer Services,Consumer Services
912,JUBLINDS.NS,Jubilant Industries Limited,Others,Others
913,JUBLINGREA.NS,Jubilant Ingrevia Limited,Chemicals,Chemicals
914,JUBLPHARMA.NS,Jubilant Pharmova Limited,Healthcare,Healthcare
915,JUNIPER.NS,Juniper Hotels Limited,Consumer Services,Consumer Services
916,JUSTDIAL.NS,Just Dial Limited,Consumer Services,Consumer Services
917,JWL.NS,Jupiter Wagons Limited,Capital Goods,Capital Goods
918,JYOTHYLAB.NS,Jyothy Labs Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods
919,JYOTICNC.NS,Jyoti CNC Automation Limited,Capital Goods,Capital Goods
920,JYOTISTRUC.NS,Jyoti Structures Limited,Others,Others
921,KABRAEXTRU.NS,Kabra Extrusion Technik Limited,Others,Others
922,KAJARIACER.NS,Kajaria Ceramics Limited,Consumer Durables,Consumer Durables
923,KAKATCEM.NS,Kakatiya Cement Sugar & Industries Limited,Others,Others
924,KALAMANDIR.NS,Sai Silks (Kalamandir) Limited,Consumer Services,Consumer Services
925,KALYANI.NS,Kalyani Commercials Limited,Others,Others
926,KALYANIFRG.NS,Kalyani Forge Limited,Others,Others
927,KALYANKJIL.NS,Kalyan Jewellers India Limited,Consumer Durables,Consumer Durables
928,KAMATHOTEL.NS,Kamat Hotels (I) Limited,Others,Others
929,KAMDHENU.NS,Kamdhenu Limited,Others,Others
930,KAMOPAINTS.NS,Kamdhenu Ventures Limited,Others,Others
931,KANANIIND.NS,Kanani Industries Limited,Others,Others
932,KANORICHEM.NS,Kanoria Chemicals & Industries Limited,Others,Others
933,KANPRPLA.NS,Kanpur Plastipack Limited,Others,Others
934,KANSAINER.NS,Kansai Nerolac Paints Limited,Consumer Durables,Consumer Durables
935,KAPSTON.NS,Kapston Services Limited,Others,Others
936,KARMAENG.NS,Karma Energy Limited,Others,Others
937,KARURVYSYA.NS,Karur Vysya Bank Limited,Financial Services,Financial Services
938,KAUSHALYA.NS,Kaushalya Infrastructure Development Corporation Limited,Others,Others
939,KAVVERITEL.NS,Kavveri Telecom Products Limited,Others,Others
940,KAYA.NS,Kaya Limited,Others,Others
941,KAYNES.NS,Kaynes Technology India Limited,Capital Goods,Capital Goods
942,KBCGLOBAL.NS,KBC Global Limited,Others,Others
943,KCP.NS,KCP Limited,Others,Others
